,Historial
0,1641.9851786315792
1,1641.9851786315792
2,1641.9851786315792
3,1641.9851786315792
4,1641.9851786315792
5,1641.9851786315792
6,1641.9851786315792
7,1641.9851786315792
8,1641.9851786315792
9,1641.9851786315792
10,1641.9851786315792
11,1641.9851786315792
12,1641.9851786315792
13,1641.9851786315792
14,1641.9851786315792
15,1641.9851786315792
16,1641.9851786315792
17,1641.9851786315792
18,1641.9851786315792
19,1641.9851786315792
20,1641.9851786315792
21,1641.9851786315792
22,1641.9851786315792
23,1641.9851786315792
24,1641.9851786315792
25,1641.9851786315792
26,1641.9851786315792
27,1641.9851786315792
28,1641.9851786315792
29,1641.9851786315792
30,1641.9851786315792
31,1641.9851786315792
32,1641.9851786315792
33,1641.9851786315792
34,1641.9851786315792
35,1641.9851786315792
36,1641.9851786315792
37,1641.9851786315792
38,1641.9851786315792
39,1641.9851786315792
40,1641.9851786315792
41,1641.9851786315792
42,1641.9851786315792
43,1641.9851786315792
44,1641.9851786315792
45,1641.9851786315792
46,1641.9851786315792
47,1641.9851786315792
48,1641.9851786315792
49,1641.9851786315792
50,1641.9851786315792
51,1641.9851786315792
52,1641.9851786315792
53,1641.9851786315792
54,1641.9851786315792
55,1641.9851786315792
56,1641.9851786315792
57,1641.9851786315792
58,1641.9851786315792
59,1641.9851786315792
60,1641.9851786315792
61,1641.9851786315792
62,1641.9851786315792
63,1641.9851786315792
64,1641.9851786315792
65,1641.9851786315792
66,1641.9851786315792
67,1641.9851786315792
68,1641.9851786315792
69,1641.9851786315792
70,1641.9851786315792
71,1641.9851786315792
72,1641.9851786315792
73,1641.9851786315792
74,1641.9851786315792
75,1641.9851786315792
76,1641.9851786315792
77,1641.9851786315792
78,1641.9851786315792
79,1641.9851786315792
80,1641.9851786315792
81,1641.9851786315792
82,1641.9851786315792
83,1641.9851786315792
84,1641.9851786315792
85,1641.9851786315792
86,1641.9851786315792
87,1641.9851786315792
88,1641.9851786315792
89,1641.9851786315792
90,1641.9851786315792
91,1641.9851786315792
92,1641.9851786315792
93,1641.9851786315792
94,1641.9851786315792
95,1641.9851786315792
96,1641.9851786315792
97,1641.9851786315792
98,1641.9851786315792
99,1641.9851786315792
100,1641.9851786315792
101,1641.9851786315792
102,1641.9851786315792
103,1641.9851786315792
104,1641.9851786315792
105,1641.9851786315792
106,1641.9851786315792
107,1641.9851786315792
108,1641.9851786315792
109,1641.9851786315792
110,1641.9851786315792
111,1641.9851786315792
112,1641.9851786315792
113,1641.9851786315792
114,1641.9851786315792
115,1641.9851786315792
116,1641.9851786315792
117,1641.9851786315792
118,1641.9851786315792
119,1641.9851786315792
120,1641.9851786315792
121,1641.9851786315792
122,1641.9851786315792
123,1641.9851786315792
124,1641.9851786315792
125,1641.9851786315792
126,1641.9851786315792
127,1641.9851786315792
128,1641.9851786315792
129,1641.9851786315792
130,1641.9851786315792
131,1641.9851786315792
132,1641.9851786315792
133,1641.9851786315792
134,1641.9851786315792
135,1641.9851786315792
136,1641.9851786315792
137,1641.9851786315792
138,1641.9851786315792
139,1641.9851786315792
140,1641.9851786315792
141,1641.9851786315792
142,1641.9851786315792
143,1641.9851786315792
144,1641.9851786315792
145,1641.9851786315792
146,1641.9851786315792
147,1641.9851786315792
148,1641.9851786315792
149,1641.9851786315792
150,1641.9851786315792
151,1641.9851786315792
152,1641.9851786315792
153,1641.9851786315792
154,1641.9851786315792
155,1641.9851786315792
156,1641.9851786315792
157,1641.9851786315792
158,1641.9851786315792
159,1641.9851786315792
160,1641.9851786315792
161,1641.9851786315792
162,1641.9851786315792
163,1641.9851786315792
164,1641.9851786315792
165,1641.9851786315792
166,1641.9851786315792
167,1641.9851786315792
168,1641.9851786315792
169,1641.9851786315792
170,1641.9851786315792
171,1641.9851786315792
172,1641.9851786315792
173,1641.9851786315792
174,1641.9851786315792
175,1641.9851786315792
176,1641.9851786315792
177,1641.9851786315792
